interface,link_status,carrier_transitions,input_errors,bit_errors,errored_blocks,fec_corrected,fec_uncorrected,crc_errors,temperature,temp_high_alarm,temp_low_alarm,temp_high_warn,temp_low_warn,bias_current,bias_high_alarm,bias_low_alarm,tx_power_mw,tx_power_dbm,rx_power_mw,rx_power_dbm,rx_high_alarm,rx_low_alarm,rx_high_warn,rx_low_warn,timestamp,switch
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:34:40,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:34:40,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:34:40,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.711,Off,Off,1.057,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 00:34:40,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:39:41,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:39:41,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:39:41,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-02 00:39:41,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:44:43,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:44:43,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:44:43,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.053,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-02 00:44:43,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:49:44,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:49:44,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:49:44,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.679,Off,Off,1.052,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 00:49:44,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:54:45,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:54:45,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:54:45,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.717,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 00:54:45,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:59:46,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:59:46,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 00:59:46,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.719,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 00:59:46,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:04:48,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:04:48,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:04:48,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.717,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:04:48,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:09:49,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:09:49,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:09:49,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:09:49,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:14:50,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:14:50,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:14:50,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.688,Off,Off,1.054,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:14:50,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:19:51,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:19:51,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:19:51,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.693,Off,Off,1.056,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:19:51,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:24:53,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:24:53,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:24:53,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.717,Off,Off,1.058,0.24,0.801,-0.96,Off,Off,Off,Off,2026-09-02 01:24:53,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:29:54,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:29:54,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:29:54,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.719,Off,Off,1.058,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:29:54,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:34:55,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:34:55,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:34:55,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.717,Off,Off,1.058,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-02 01:34:55,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:39:56,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:39:56,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:39:56,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-02 01:39:56,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:44:58,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:44:58,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:44:58,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-02 01:44:58,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:49:59,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:49:59,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:49:59,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.771,-1.13,Off,Off,Off,Off,2026-09-02 01:49:59,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:55:00,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:55:00,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 01:55:00,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.699,Off,Off,1.055,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-02 01:55:00,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:00:01,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:00:01,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:00:01,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.688,Off,Off,1.053,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:00:01,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:05:03,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:05:03,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:05:03,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.679,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:05:03,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:10:04,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:10:04,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:10:04,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:10:04,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:15:05,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:15:05,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:15:05,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.679,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:15:05,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:20:06,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:20:06,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:20:06,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:20:06,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:25:08,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:25:08,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:25:08,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.693,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:25:08,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:30:09,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:30:09,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:30:09,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:30:09,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:35:10,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:35:10,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:35:10,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.053,0.23,0.786,-1.05,Off,Off,Off,Off,2026-09-02 02:35:10,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:40:11,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:40:11,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:40:11,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-02 02:40:11,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:45:13,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:45:13,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:45:13,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.693,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:45:13,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:50:14,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:50:14,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:50:14,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.703,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:50:14,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:55:15,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:55:15,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 02:55:15,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-02 02:55:15,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:00:16,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:00:16,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:00:16,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.703,Off,Off,1.055,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-02 03:00:16,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:05:18,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:05:18,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:05:18,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.786,-1.05,Off,Off,Off,Off,2026-09-02 03:05:18,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:10:19,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:10:19,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:10:19,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,34.0,Off,Off,Off,Off,6.693,Off,Off,1.054,0.23,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:10:19,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:15:20,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:15:20,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:15:20,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,33.0,Off,Off,Off,Off,6.711,Off,Off,1.052,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:15:20,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:20:22,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:20:22,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:20:22,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.719,Off,Off,1.058,0.24,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:20:22,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:25:23,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:25:23,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:25:23,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.697,Off,Off,1.054,0.23,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:25:23,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:30:24,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:30:24,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:30:24,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.71,Off,Off,1.058,0.24,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:30:24,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:35:26,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:35:26,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:35:26,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.705,Off,Off,1.056,0.24,0.786,-1.05,Off,Off,Off,Off,2026-09-02 03:35:26,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:40:27,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:40:27,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:40:27,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:40:27,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:45:28,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:45:28,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:45:28,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:45:28,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:50:30,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:50:30,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:50:30,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,32.0,Off,Off,Off,Off,6.685,Off,Off,1.052,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:50:30,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:55:31,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:55:31,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-02 03:55:31,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,35.0,Off,Off,Off,Off,6.717,Off,Off,1.051,0.22,0.801,-0.96,Off,Off,Off,Off,2026-09-02 03:55:31,sw-A
